objid,ra,dec,rm,gm,hmag,w1mag,chi2,DM, Ag, period,EBV,ng,nr,ni,nz,ny
10009918674901127173,71.33891,50.94579,15.952,18.043,12.606,12.173,257.781,15.132,0.713,1.74382,1.502,10,6,10,15,11
10028144179642806248,72.00798,48.21665,18.140,19.032,15.460,15.063,42.721,18.098,0.440,1.48919,0.786,10,10,14,13,16
10045472482896866937,67.77663,55.54042,17.125,18.102,13.473,13.010,53.792,15.937,0.484,1.17451,1.134,12,10,11,10,16
10046580790617499182,73.60568,43.47400,17.159,18.230,13.160,12.472,211.921,16.539,0.965,1.93185,1.121,12,9,10,11,17
10046721528106109577,73.89651,41.80002,16.092,17.261,12.660,12.141,37.260,19.092,0.439,21.97493,0.681,14,15,14,13,14
10063522065778442869,67.91531,55.09446,17.709,19.227,14.636,14.110,109.303,17.460,0.509,1.73671,1.021,10,10,12,13,14
10063785948569321910,69.34298,52.30508,15.795,16.915,12.682,12.403,61.544,15.124,0.870,1.21981,0.925,9,12,8,11,13
10081430911171663322,66.67109,56.15649,15.754,17.056,12.337,11.985,16.466,16.902,0.353,5.32456,0.919,9,10,11,8,16
10081554056474071002,67.43772,54.78076,18.483,20.184,14.234,13.573,30.657,16.493,0.333,1.13159,1.500,12,8,12,14,16
10081694793962138579,68.53973,53.31915,15.809,16.841,11.382,10.606,314.158,16.933,1.091,15.00772,1.022,12,12,10,17,20
10082345704846391057,71.69117,45.89502,18.345,20.035,13.728,13.247,12.191,16.232,0.298,1.18681,1.634,12,10,8,15,17
10082539218892389478,72.57044,43.80563,14.925,15.785,12.503,11.931,118.717,16.170,0.911,2.27838,0.483,14,13,10,12,16
10099603639355050613,67.40505,54.08124,18.427,20.059,14.194,13.968,21.544,16.715,0.329,1.05240,1.405,12,12,12,17,18
10099885114331833880,69.07233,50.99542,17.608,18.979,14.209,13.832,104.813,16.713,0.545,1.05069,1.098,13,10,10,15,10
