objid_ps,objid,ra,dec,n_obs_good,n_obs_all,mean_flux_good,mean_mag_good,mean_flux_all,period_good,period_all,baseline
10801619823457547157,50.83780_52.71034,50.83780,52.71034,21,139,0.203,18.085,-0.013,3.789,1.195,3
10693463063656683990,51.59662_54.36582,51.59662,54.36582,21,139,0.204,18.062,0.017,1.306,1.549,3
10819757367269438491,51.90764_51.04357,51.90764,51.04357,9,135,99999.900,18.137,-0.021,99999.900,1.671,5
10711530238724014497,52.00945_53.84008,52.00945,53.84008,18,139,0.192,18.147,0.015,1.206,2.215,3
10693603801144788788,53.21738_52.95881,53.21738,52.95881,39,274,0.318,17.640,0.002,1.032,1.013,3
10675606994821549814,53.40915_52.98935,53.40915,52.98935,22,274,0.281,17.740,-0.033,1.562,2.010,3
10657575004125791060,53.50373_53.38094,53.50373,53.38094,83,274,0.201,17.787,nan,1.862,99999.900,3
10603443847667371598,53.72050_55.00261,53.72050,55.00261,17,135,0.700,15.317,0.007,1.510,1.452,3
10747787734161831937,53.88257_50.95489,53.88257,50.95489,18,135,0.202,18.063,0.005,3.164,1.396,5
10621546207107167317,54.14557_53.65151,54.14557,53.65151,22,135,0.228,17.992,0.026,1.135,4.781,3
10567432642834452001,54.26348_55.08288,54.26348,55.08288,23,135,0.201,18.166,0.007,1.142,1.030,3
10477255097170577753,54.70760_57.22290,54.70760,57.22290,36,120,0.197,18.089,-0.022,1.149,1.858,3
10549435836511271153,54.76584_54.98455,54.76584,54.98455,20,140,0.235,17.887,0.015,1.284,1.323,5
10693779723005481836,55.06585_51.04034,55.06585,51.04034,25,255,0.225,17.907,-0.010,1.035,1.031,5
10603602177341911775,55.23212_53.17437,55.23212,53.17437,33,140,0.212,18.030,0.053,4.403,4.153,5
10549488613069201469,55.35917_54.55471,55.35917,54.55471,14,140,0.216,18.034,-0.007,2.875,1.959,5
10495375048796432654,55.53694_56.02981,55.53694,56.02981,24,260,0.226,17.970,-0.025,1.049,2.381,5
10585605371018473095,55.55569_53.24893,55.55569,53.24893,27,140,0.215,17.997,0.005,1.437,2.071,5
10549506205255245679,55.57932_54.49535,55.57932,54.49535,17,140,0.209,18.087,-0.009,3.108,14.678,5
10603654953900093585,55.58948_52.56078,55.58948,52.56078,7,140,99999.900,17.961,-0.040,99999.900,2.361,5
10693902868307660534,55.96974_49.56109,55.96974,49.56109,57,255,0.230,17.922,0.040,1.035,1.428,5
10459328659591407341,55.99646_56.41616,55.99646,56.41616,20,120,0.205,18.120,-0.003,1.338,1.822,3
10441331853267969724,56.22869_56.41051,56.22869,56.41051,23,120,0.247,17.869,0.031,7.013,5.673,3
10621774905525869127,56.34184_51.31179,56.34184,51.31179,23,255,0.239,17.881,0.000,4.182,8.029,5
10657874071288881075,56.35767_50.09020,56.35767,50.09020,30,255,0.174,18.204,-0.001,4.124,1.845,5
10675888469798172595,56.42009_49.89608,56.42009,49.89608,78,255,0.109,18.482,nan,1.711,99999.900,5
10567643749066949930,56.54851_52.85229,56.54851,52.85229,29,140,0.211,18.071,0.027,6.764,2.018,5
10405285464062944792,56.70563_57.02586,56.70563,57.02586,28,120,0.148,18.421,0.017,1.035,1.889,3
10694008421423954060,56.91779_48.57648,56.91779,48.57648,17,120,0.196,18.086,-0.008,1.035,1.265,3
10549629350557467491,56.91985_52.98788,56.91985,52.98788,24,140,0.204,18.090,0.017,1.574,1.338,5
10585746108506651615,56.93841_51.54604,56.93841,51.54604,25,120,0.313,17.459,-0.041,1.118,1.001,3
10603778099202208308,57.01012_51.33780,57.01012,51.33780,20,120,0.202,18.041,0.003,1.333,6.592,3
10675976430728421140,57.06036_49.02469,57.06036,49.02469,17,120,0.197,18.152,-0.008,1.463,3.096,3
10477518979961530216,57.46358_54.35805,57.46358,54.35805,20,140,0.184,18.219,0.021,1.362,1.055,5
10567766894369262224,57.47703_51.47259,57.47703,51.47259,24,120,1.645,15.517,-1.184,1.062,1.003,3
10603848467946486876,57.57996_50.49260,57.57996,50.49260,14,120,0.184,18.123,0.008,2.824,5.031,3
10567784486555335833,57.62497_51.19136,57.62497,51.19136,21,120,0.169,18.302,0.008,2.969,1.561,3
10531702912978182791,57.70908_52.13934,57.70908,52.13934,50,260,0.252,17.869,0.032,1.035,3.987,5
10477554164333371692,57.72672_54.08350,57.72672,54.08350,37,259,0.220,17.941,0.005,1.500,1.581,5
10459504581451770753,57.82147_54.59851,57.82147,54.59851,34,259,0.354,16.287,-0.009,1.497,1.003,5
10495621339401117342,57.87469_53.24528,57.87469,53.24528,46,259,0.204,17.991,0.016,1.038,7.657,5
10640000410268139173,57.93829_48.78106,57.93829,48.78106,10,120,99999.900,18.335,-0.019,99999.900,2.603,3
10603918836690702351,58.15385_49.61718,58.15385,49.61718,36,120,0.147,18.414,-0.017,1.207,2.465,3
10423458192246752474,58.23321_55.05930,58.23321,55.05930,25,259,0.214,18.041,-0.017,1.019,3.065,5
10477624533078018807,58.41343_53.13196,58.41343,53.13196,17,259,0.178,18.281,-0.025,5.885,1.630,5
10477624533078018863,58.45551_53.16345,58.45551,53.16345,27,259,0.213,17.987,-0.000,1.086,1.111,5
10459610134568105375,58.72010_53.31268,58.72010,53.31268,37,259,0.203,18.100,-0.003,1.035,5.065,5
10531808466094534492,58.82031_51.15024,58.82031,51.15024,36,120,0.206,18.035,0.028,1.369,1.329,3
10531808466094534313,58.88865_51.11497,58.88865,51.11497,8,120,99999.900,18.011,-0.050,99999.900,2.616,3
10333298238769311929,58.93036_56.99442,58.93036,56.99442,15,120,0.195,18.172,-0.003,2.679,1.770,3
10459662911126281072,59.06242_52.80727,59.06242,52.80727,39,259,0.241,17.912,-0.003,5.698,4.931,5
10477694901821803898,59.08285_52.49554,59.08285,52.49554,42,259,0.278,17.758,0.025,3.057,1.167,5
10459680503312325590,59.33011_52.70342,59.33011,52.70342,80,259,0.316,17.621,0.026,1.202,1.005,5
10459680503312326651,59.40411_52.69398,59.40411,52.69398,63,259,0.283,17.712,0.041,15.284,1.173,5
10387499763972003011,59.47122_54.75484,59.47122,54.75484,46,259,0.223,17.966,0.025,1.187,3.885,5
10567978000601911179,59.51232_49.10316,59.51232,49.10316,16,120,0.136,18.586,0.004,7.082,3.625,3
10495814853447457070,59.59897_50.89841,59.59897,50.89841,19,120,0.203,18.057,-0.002,3.115,1.588,3
10459698095498401014,59.59978_52.38683,59.59978,52.38683,50,259,0.282,17.771,0.026,1.035,1.596,5
10495832445633501219,59.69903_50.76333,59.69903,50.76333,22,120,0.203,18.033,0.007,4.899,2.772,3
10441666104802847911,59.70855_52.80581,59.70855,52.80581,31,259,0.287,17.745,-0.011,1.209,1.580,5
10459715687684445206,59.71744_52.20475,59.71744,52.20475,58,379,0.245,17.867,0.016,1.000,1.086,5
10459750872056591493,59.84658_51.71411,59.84658,51.71411,99,255,1.078,15.931,-0.103,1.000,1.008,3
10495832445633500962,59.87735_50.92053,59.87735,50.92053,52,120,1.167,16.062,0.157,1.686,3.372,3
10369538142021026903,60.17966_54.40220,60.17966,54.40220,58,259,0.245,17.865,0.037,1.463,1.054,5
