objid,objid_ls,ra,dec,rm,gm,hmag,w1mag,chi2,DM, Ag, period,EBV,ng,nr,ni,nz,ny
10009918674901127173,71.33891_50.94579,71.33891,50.94579,15.952,18.043,12.606,12.173,340.585,14.794,0.876,1.39970,1.636,10,6,10,15,11
10028144179642806248,72.00798_48.21665,72.00798,48.21665,18.140,19.032,15.460,15.063,46.524,19.032,0.584,3.00240,0.667,10,10,14,13,16
10045472482896866937,67.77663_55.54042,67.77663,55.54042,17.125,18.102,13.473,13.010,62.217,15.939,0.483,1.51540,1.222,12,10,11,10,16
10046580790617499182,73.60568_43.474,73.60568,43.47400,17.159,18.230,13.160,12.472,171.748,16.274,0.906,1.84420,1.213,12,9,10,11,17
10046721528106109577,73.89651_41.80002,73.89651,41.80002,16.092,17.261,12.660,12.141,25.030,15.097,0.312,1.04770,1.086,14,15,14,13,14
10063522065778442869,67.91531_55.09446,67.91531,55.09446,17.709,19.227,14.636,14.110,77.470,16.987,0.591,1.21760,1.086,10,10,12,13,14
10063785948569321910,69.34298_52.30508,69.34298,52.30508,15.795,16.915,12.682,12.403,59.066,15.118,0.869,1.21980,0.928,9,12,8,11,13
10081430911171663322,66.67109_56.15649,66.67109,56.15649,15.754,17.056,12.337,11.985,16.360,16.898,0.356,5.32440,0.921,9,10,11,8,16
10081554056474071002,67.43772_54.78076,67.43772,54.78076,18.483,20.184,14.234,13.573,36.617,17.030,0.385,1.64590,1.440,12,8,12,14,16
10081694793962138579,68.53973_53.31915,68.53973,53.31915,15.809,16.841,11.382,10.606,209.891,17.028,1.089,14.98280,1.099,12,12,10,17,20
10082345704846391057,71.69117_45.89502,71.69117,45.89502,18.345,20.035,13.728,13.247,19.135,18.283,0.249,6.15360,1.505,12,10,8,15,17
10082539218892389478,72.57044_43.80563,72.57044,43.80563,14.925,15.785,12.503,11.931,205.825,17.522,0.963,6.36940,0.331,14,13,10,12,16
10099603639355050613,67.40505_54.08124,67.40505,54.08124,18.427,20.059,14.194,13.968,23.487,18.078,0.330,3.01290,1.272,12,12,12,17,18
10099885114331833880,69.07233_50.99542,69.07233,50.99542,17.608,18.979,14.209,13.832,108.932,17.933,0.655,2.58330,0.971,13,10,10,15,10
10117530076934505144,66.41226_54.87628,66.41226,54.87628,17.402,19.053,13.225,12.652,29.356,17.095,0.243,4.58190,1.444,13,14,10,11,16
10117547669121298295,66.62401_54.84443,66.62401,54.84443,17.939,19.740,12.795,11.985,103.511,16.305,0.439,2.72330,1.804,13,9,12,12,18
10118216172190932922,70.55394_47.44061,70.55394,47.44061,17.690,18.924,14.500,13.948,11.009,16.846,0.375,1.27420,1.098,5,10,6,9,11
10135737989490330683,67.41102_52.73891,67.41102,52.73891,15.874,16.913,13.137,12.597,120.551,15.890,0.654,2.01900,0.928,12,10,7,18,18
10135896319165154131,68.46072_50.95391,68.46072,50.95391,18.682,19.700,14.710,14.302,31.855,18.100,0.377,2.42910,1.155,9,9,9,12,7
10136072241025285378,69.36472_48.9516,69.36472,48.95160,17.597,18.776,14.510,14.266,30.102,18.292,0.390,3.07560,0.858,7,10,8,11,10
10153594058325404576,66.13225_54.25876,66.13225,54.25876,17.255,18.447,14.016,13.660,35.773,16.395,0.313,1.10000,1.027,12,9,8,12,16
10153699611441659899,66.81718_53.13081,66.81718,53.13081,18.256,19.820,14.032,13.737,9.842,17.287,0.219,1.93190,1.318,11,10,7,13,17
10153857941116272229,67.59542_51.1828,67.59542,51.18280,18.164,19.481,15.062,14.819,53.181,17.561,0.637,1.20340,1.046,14,12,12,13,17
10153893125488598317,68.0075_50.90519,68.00750,50.90519,18.566,20.389,13.666,13.023,16.045,15.721,0.254,1.22670,1.836,9,12,12,10,10
10154579220743988336,71.27405_43.20271,71.27405,43.20271,19.106,20.169,15.815,15.451,21.364,18.892,0.375,2.21480,1.044,12,9,10,16,22
10171520495904812169,65.08795_54.92197,65.08795,54.92197,17.520,19.051,13.480,13.074,66.150,15.540,0.529,1.17660,1.466,11,8,12,12,16
10172276959904789292,69.612_46.61617,69.61200,46.61617,17.742,18.750,14.734,14.321,41.482,18.048,0.388,2.34500,0.837,11,10,8,11,14
10189552486600360772,65.01623_54.53221,65.01623,54.53221,16.793,18.409,12.482,11.607,60.499,16.849,0.600,4.38240,1.295,8,10,8,11,16
10189746000647187580,66.32758_52.50089,66.32758,52.50089,17.200,18.696,13.452,13.138,39.170,16.449,0.389,1.80910,1.234,8,8,12,11,7
10189974699065262034,67.46496_49.83486,67.46496,49.83486,16.819,18.532,13.691,13.398,370.149,18.039,1.146,4.06090,1.730,11,8,12,8,15
10207267817947140243,61.93044_57.67435,61.93044,57.67435,15.273,16.263,12.903,12.605,47.625,15.463,0.792,1.12930,0.608,12,10,12,8,13
10208323349109866502,69.25894_45.97883,69.25894,45.97883,17.099,18.414,14.478,13.631,76.158,17.155,0.619,2.32570,1.008,9,12,6,11,12
10208358533482613067,69.39387_45.68958,69.39387,45.68958,17.046,18.784,12.841,12.238,26.062,16.661,0.255,4.72110,1.463,11,12,9,9,13
10225528507061163287,63.73275_54.63671,63.73275,54.63671,18.151,19.058,14.961,14.551,68.592,17.599,0.879,1.30700,0.924,15,14,11,12,18
10226372931991499684,68.84775_45.38876,68.84775,45.38876,18.514,20.297,14.014,13.618,35.599,16.223,0.571,1.37960,1.790,11,11,8,10,14
