objid,ra,dec,rm,gm,hmag,w1,chi2,DM, Ag, period,EBV, EBV_eddie,ng,nr,ni
11084678096912594043,301.53654,36.47506,16.581,19.041,7.711,6.815,3283.769,6.983,1.599,3.43241,4.079,0.954,12,13,10
11120566156443422306,300.33829,34.56446,14.777,16.276,10.967,10.470,148.973,11.432,0.500,7.93342,1.492,1.165,12,12,11
11120566156443422509,300.34841,34.57976,15.346,16.816,11.623,10.933,111.584,12.049,0.600,3.51583,1.466,1.187,10,10,13
11120566156443422837,300.32010,34.61954,15.793,17.533,11.387,10.771,184.570,11.863,0.500,10.33044,1.733,1.228,14,14,13
11120566156443423199,300.33227,34.60331,16.295,18.057,11.795,11.238,233.157,12.205,0.501,7.93390,1.810,1.210,15,16,17
11120566156443423715,300.39998,34.59980,16.973,18.812,12.401,11.800,84.621,12.962,0.500,7.29454,1.797,1.227,6,13,10
11120566156443424229,300.38088,34.57510,17.129,19.064,12.326,11.141,83.301,12.434,0.500,6.66976,2.095,1.193,6,11,9
11120566156443425549,300.34132,34.58625,17.582,19.478,12.961,12.102,157.883,13.212,0.500,7.93284,1.934,1.192,15,15,15
11120566156443426534,300.37218,34.55603,17.749,19.910,12.371,11.719,81.161,12.798,0.600,2.81616,2.234,1.168,9,15,13
11120566156444484557,300.32454,34.59291,17.893,19.519,13.841,12.122,290.733,13.397,0.947,5.71262,2.006,1.194,8,7,7
11120566156444484628,300.36483,34.56263,17.988,20.174,12.489,11.865,20.180,12.875,0.500,7.93414,2.273,1.173,9,4,9
11120566156444484703,300.32049,34.58794,18.413,20.606,12.989,12.116,60.443,13.145,0.500,11.02001,2.336,1.186,13,9,15
11120566156444484748,300.36537,34.58315,18.712,21.343,12.251,11.483,61.465,12.390,0.600,4.38997,2.813,1.197,10,10,15
11174873234763008674,303.49090,36.82455,18.564,21.237,9.049,7.997,749.963,7.919,1.600,2.17190,4.542,0.794,9,9,13
11174978787879577030,304.74872,37.96526,17.027,19.311,11.503,10.630,210.349,11.809,0.777,4.80276,2.374,1.056,14,7,10
11210515003688820508,300.04802,32.38365,18.879,21.096,12.310,11.534,143.500,13.032,1.258,18.27912,2.644,1.324,12,5,9
11210655741177025642,301.47252,33.81286,15.448,17.216,11.079,10.529,171.481,11.391,0.600,3.63605,1.791,1.149,13,12,14
11210655741177025737,301.43773,33.83688,15.962,17.307,12.400,11.461,190.617,12.716,0.600,3.95978,1.417,1.167,16,10,15
11210655741177025903,301.50986,33.82074,15.765,17.556,11.238,10.672,185.861,11.739,0.500,9.19051,1.774,1.169,15,12,17
11210655741177026155,301.45858,33.85879,16.224,18.081,11.409,10.826,91.682,11.633,0.500,9.54213,2.060,1.218,15,9,13
11210655741177026250,301.53739,33.84479,16.254,18.032,11.660,11.042,55.048,12.034,0.601,2.50616,1.834,1.206,12,8,11
11210655741177026332,301.45274,33.81450,16.500,18.115,12.389,11.916,75.601,12.786,0.601,1.74070,1.620,1.144,13,10,15
11210655741177026425,301.49971,33.85782,16.453,18.259,11.840,11.188,64.289,12.156,0.500,10.44414,1.917,1.233,12,8,15
11210655741177026822,301.46480,33.87490,16.708,18.844,11.399,10.729,155.071,11.635,0.600,2.50644,2.219,1.240,15,11,16
11210655741177026826,301.46175,33.86476,16.953,18.725,11.776,10.977,299.328,12.465,0.500,12.46953,2.006,1.228,15,8,15
11210655741177026972,301.49888,33.83603,16.812,18.607,12.200,11.713,175.737,12.629,0.500,8.77152,1.842,1.193,16,12,17
11210655741177027289,301.50507,33.86360,17.178,19.003,12.511,11.828,75.311,12.936,0.600,3.95970,1.875,1.244,10,10,15
11210655741177028070,301.44786,33.84520,16.974,18.874,12.286,11.300,253.272,12.642,0.502,8.77148,1.912,1.189,18,12,15
11210655741177030293,301.47110,33.85198,17.955,20.608,11.025,9.412,296.386,10.650,1.000,27.35033,3.191,1.219,16,10,15
11210655741177030318,301.45202,33.82561,17.858,20.716,10.821,9.956,42.842,10.998,0.500,9.41754,3.026,1.163,15,9,14
11210655741177770343,301.44187,33.83225,19.047,21.974,11.709,10.438,61.171,11.124,1.000,14.19190,3.550,1.167,2,9,15
11210655741177770455,301.46822,33.84896,19.288,21.883,12.466,11.522,48.728,12.610,0.500,8.61340,2.954,1.212,8,12,16
11210655741177770789,301.47300,33.85353,19.021,21.642,10.859,9.845,35.113,10.444,0.600,3.04591,3.828,1.222,1,5,13
11210655741177770862,301.49994,33.84253,19.529,22.136,12.539,11.778,43.512,12.784,0.500,8.06129,2.955,1.205,6,11,17
11210655741177773884,301.49347,33.81407,19.893,21.582,10.042,8.931,188.746,9.541,1.005,32.14122,4.500,1.156,1,10,16
11210655741178394398,301.46130,33.86541,18.182,20.395,11.776,10.977,19.471,12.110,0.686,6.03953,2.719,1.227,2,4,8
11211042769269350865,305.35410,37.79592,19.429,22.199,11.157,10.022,24.746,10.983,0.500,13.11904,3.759,1.314,1,7,13
11246385471032522346,298.96621,30.52239,16.290,17.912,12.289,11.742,0.885,12.934,0.906,13.46089,1.506,0.884,3,1,8
11246385471032526329,298.97192,30.49228,17.634,20.065,11.863,11.213,41.773,12.346,0.600,4.71177,2.378,0.846,11,6,15
11246385471033541501,298.93664,30.48868,16.565,18.130,12.641,12.058,31.436,13.426,0.600,4.80330,1.434,0.824,8,4,10
11246385471033541535,298.93149,30.50070,16.916,19.691,10.247,9.446,42.828,10.166,0.600,3.61548,2.950,0.838,8,8,12
11246385471033541823,298.96859,30.50509,18.037,19.709,12.783,11.820,78.870,13.271,1.000,15.38086,2.100,0.861,7,2,9
11246385471033542004,298.95149,30.53281,18.477,21.240,11.946,11.011,51.990,12.092,0.500,9.91722,2.862,0.892,10,7,18
11264399869542003652,298.95961,30.45792,15.363,17.297,10.647,10.122,274.891,10.997,0.500,8.98152,1.942,0.796,16,14,17
11264399869542033089,298.98774,30.47534,15.828,17.581,11.637,11.115,296.506,11.918,0.600,3.36497,1.725,0.832,16,12,15
11264399869542039879,299.00405,30.51258,17.871,20.844,9.421,8.444,86.836,8.393,0.798,2.74983,4.094,0.887,7,9,19
11264399869542040279,298.98968,30.46481,18.094,20.552,12.483,11.440,127.089,12.772,0.500,9.09056,2.390,0.821,10,11,18
11264399869542971074,298.98667,30.45039,18.910,21.536,12.387,11.324,32.933,12.350,0.500,10.83269,2.881,0.802,6,10,14
11264399869543190942,298.97826,30.45964,17.822,19.879,12.821,12.022,45.802,13.215,0.600,4.77401,2.048,0.808,11,10,13
11264417461728082346,299.01764,30.50875,17.643,19.983,12.126,11.066,72.569,12.202,0.601,4.01409,2.458,0.890,11,6,17
11282766111772288805,302.72789,33.61454,16.035,16.914,11.647,10.659,3505.063,12.369,1.697,10.62483,1.726,1.373,15,12,18
11282766111772288975,302.64842,33.60833,16.154,17.635,12.436,11.862,122.060,12.799,0.531,6.04529,1.482,1.458,8,11,15
11282766111772289320,302.73104,33.60064,16.440,18.602,11.078,10.360,187.139,11.385,0.601,4.17085,2.223,1.378,20,10,18
11282766111772289497,302.70112,33.62835,16.973,19.142,11.673,11.076,81.937,11.898,0.500,7.34046,2.224,1.379,12,11,15
11282766111772289531,302.65205,33.60582,16.995,19.111,11.692,11.007,109.110,12.013,0.500,6.32914,2.199,1.454,10,12,17
11282766111772289586,302.66283,33.61660,17.865,19.055,0.000,0.000,99999.990,16.987,1.275,1.49881,4.482,1.428,9,5,15
11282766111772289818,302.69583,33.64103,16.310,19.014,9.449,8.637,187.442,9.570,0.500,12.23078,2.951,1.376,14,12,13
11282766111772289894,302.68675,33.64540,17.712,20.168,11.893,11.182,99.445,12.144,0.608,3.84324,2.474,1.382,11,12,14
11282766111772289919,302.69824,33.60798,17.196,20.123,9.737,8.893,35.465,9.516,0.501,5.30967,3.351,1.397,10,10,16
11282766111772290276,302.70033,33.58076,17.682,20.647,10.452,9.516,134.485,10.503,0.500,6.63950,3.189,1.415,11,10,19
11282766111772291433,302.71756,33.58586,18.015,20.627,11.610,10.796,98.709,11.819,0.500,6.01155,2.727,1.397,16,10,19
11282766111772291598,302.68336,33.63310,17.696,20.029,12.167,11.574,46.526,12.198,1.842,33.71083,2.268,1.386,10,6,11
11282766111772291672,302.72727,33.60304,18.259,20.989,11.472,10.602,95.049,11.906,0.500,12.77696,2.847,1.379,14,8,18
11282766111772291702,302.64717,33.60356,18.451,20.894,12.378,11.601,49.576,12.679,0.502,9.00014,2.552,1.464,11,11,12
11282766111772342673,302.73831,33.60989,17.973,20.444,11.196,10.412,32.265,11.656,0.500,12.06640,2.821,1.370,2,5,19
11282766111772342715,302.66299,33.59319,18.115,20.203,11.786,10.999,47.271,12.222,0.563,12.74036,2.576,1.450,8,9,11
11282766111772342879,302.67515,33.59494,18.944,21.556,12.385,11.662,40.686,12.703,0.501,11.37481,2.748,1.433,10,7,18
11282766111772342943,302.70239,33.62739,19.479,22.091,12.764,11.700,21.136,12.895,0.500,12.23104,2.914,1.379,1,7,15
11282766111776082450,302.68302,33.63313,17.718,20.047,12.167,11.574,0.874,12.644,0.622,3.40315,2.314,1.386,3,4,4
11336228765162455727,297.51475,27.44931,19.162,20.648,13.866,11.533,259.905,13.116,1.899,31.77760,2.713,0.647,2,6,5
11336281541720003840,297.88945,27.97903,18.482,20.837,12.797,12.047,1441.065,13.222,0.602,4.90836,2.364,0.758,13,16,18
