objid,ra,dec,rm,gm,hmag,w1mag,chi2,DM, Ag, period,EBV, EBV_eddie,ng,nr,ni
10136863889397198477,73.82548,39.97973,13.528,14.267,11.095,10.757,848.457,11.172,1.405,2.13291,1.000,0.522,13,6,4
10281014261845383000,72.85352,38.18856,13.303,14.155,10.605,10.367,234.503,10.814,0.845,2.65921,1.000,0.652,14,3,1
10296812044913021426,54.08393,62.28719,13.114,13.992,9.422,9.108,7.362,9.969,1.032,7.99331,1.278,0.987,9,2,1
10390877463692659926,89.39333,19.81991,13.863,14.881,10.518,10.175,13.112,11.055,0.744,9.08698,1.177,0.839,10,4,3
10422965611038200398,52.35820,60.44645,12.305,13.445,8.652,7.994,8.143,8.654,1.189,2.78205,1.492,0.939,13,1,2
10922654063444018052,300.89456,39.15963,12.975,14.186,10.757,10.386,99999.990,9.580,1.165,1.40035,4.280,0.532,16,7,5
10922742024375371962,301.83832,40.17810,13.971,14.769,11.106,10.832,220.353,11.404,1.040,4.22135,1.051,0.606,11,8,4
11009946490596148336,273.95715,12.09463,17.043,17.776,0.000,0.000,99999.990,7.954,0.890,3.89216,2.325,0.180,11,14,17
11012479765385923075,299.44208,35.63607,12.960,14.097,9.576,9.281,32.770,9.804,1.225,6.22536,1.345,0.916,14,4,3
11084308661008664968,297.82202,32.67554,13.387,15.032,9.751,9.429,25.310,10.238,1.267,14.98170,1.369,0.849,11,3,4
11125632706024098548,43.66830,51.82465,13.311,14.219,11.238,10.484,64.374,11.352,1.055,2.11478,1.000,0.409,8,6,4
11192359867690622307,298.59747,31.22692,12.297,14.042,9.052,8.462,0.719,9.244,1.010,4.75804,1.409,0.782,5,2,3
11192412644248851947,298.89086,31.76390,12.151,14.266,8.551,7.778,2.849,8.986,1.691,14.14185,1.529,0.962,12,1,2
11192500605179160957,299.78760,32.69545,12.957,14.875,8.893,8.290,5.828,9.289,1.016,19.17854,1.689,1.151,9,4,1
11264628567960896822,301.33612,32.65911,12.570,14.199,8.801,8.386,21.903,9.055,0.598,8.74330,1.553,1.162,11,2,3
11300516627491343598,300.19315,30.90762,12.553,13.334,8.982,8.386,20.293,10.142,1.512,9.34368,1.142,1.062,10,1,2
11304879489630092637,26.76131,59.60626,13.427,14.384,10.534,10.464,85.422,11.026,0.705,2.32819,1.068,0.594,12,5,2
11514842230070730491,283.89584,12.07494,13.082,13.723,9.940,8.595,37.207,9.922,1.173,7.36403,1.328,0.533,11,1,2
11514842230070754236,283.99138,12.00375,14.115,15.079,0.000,0.000,99999.990,10.313,1.344,2.33533,1.263,0.584,14,13,8
11623825822618028861,293.93797,18.94188,19.408,21.483,0.000,0.000,99999.990,6.136,1.578,4.20396,3.717,1.639,12,11,7
11752794138507469327,324.79156,46.72548,14.062,14.598,11.417,11.321,332.836,11.695,1.332,1.90384,1.000,0.564,9,8,2
11754131144646537949,351.49364,61.26684,12.698,13.847,9.605,8.998,13.516,10.014,0.736,3.36199,1.151,0.723,9,1,2
11934662157834373270,4.26043,60.80281,13.896,14.957,10.659,9.982,35.458,11.290,1.142,6.79778,1.136,0.876,8,10,5
11934873264066965858,10.09667,58.61853,13.081,13.627,10.985,10.814,99999.990,5.399,0.815,3.95405,4.658,0.401,9,6,5
12006385500338268609,353.74840,59.35818,12.300,14.072,8.640,8.172,8.264,9.138,1.130,4.78824,1.462,1.282,12,3,1
12019667600801334162,293.02335,11.54870,14.791,16.094,0.000,0.000,99999.990,11.283,1.295,4.84542,2.446,0.420,2,5,7
12043135576984408521,14.33351,55.43882,14.156,14.762,11.926,11.772,99999.990,5.892,1.413,1.31032,2.091,0.481,10,16,10
12060024075586912036,343.65716,54.26551,13.752,14.561,10.276,8.985,859.233,10.956,1.700,12.13857,1.403,0.466,10,8,2
12666725795701345484,284.74130,-6.51446,15.756,16.950,0.000,0.000,99999.990,13.616,1.147,2.93744,3.808,0.476,8,10,14
12918716268601620723,285.07016,-10.44343,13.002,13.553,10.835,10.745,99999.990,13.465,0.958,2.89978,3.147,0.487,7,6,1
13063112931654814488,289.35065,-9.08099,13.184,14.098,11.198,10.922,99999.990,19.519,1.018,1.36061,1.500,0.360,6,4,3
