objid,ra,dec,rm,gm,im,zm,ym,hmag,w1mag,chi2, rms, rms_flat,DM, Ag, period,EBV,ng,nr,ni,nz,ny
10011607524761397197,83.53265,32.31938,15.446,16.510,14.621,14.385,14.077,12.278,11.737,6.378,331.641,1710.557,15.032,0.490,1.62998,0.964,15,14,10,11,13
10423722075037607643,60.68793,52.20488,14.173,15.536,13.184,12.429,12.341,10.328,9.651,21.139,676.450,2715.088,14.056,1.067,4.16056,1.215,15,10,3,3,11
10459662911126281072,59.06242,52.80727,16.383,18.359,15.253,14.606,14.122,11.781,11.032,6.577,348.587,1057.788,15.780,0.395,4.93392,1.632,14,12,10,13,16
10495375048796432654,55.53693,56.02980,16.809,18.897,15.393,14.681,14.044,11.206,10.536,7.153,243.216,733.674,14.338,0.474,2.38109,2.061,9,10,8,4,15
10819071272013592752,43.13487,58.69576,16.938,17.891,16.212,15.864,15.466,13.812,13.389,15.712,769.877,868.180,16.770,0.314,1.76710,0.918,6,18,11,12,15
10922654063444018052,300.89459,39.15964,12.975,14.186,12.667,12.568,12.343,10.757,10.386,7.717,262.373,2773.008,14.484,0.871,3.37079,0.610,16,7,5,4,18
10922742024375371962,301.83832,40.17810,13.971,14.769,13.369,13.225,12.793,11.106,10.832,21.607,626.603,1427.198,15.468,0.783,4.32799,0.535,11,8,4,2,20
10926753042792443755,34.53060,61.82370,15.763,17.698,14.206,13.318,13.002,10.205,9.512,10.078,413.195,1864.345,13.802,0.478,3.56471,1.986,8,12,10,11,12
10926981741210253222,38.66979,59.43657,16.810,17.847,16.256,15.876,15.674,14.076,13.767,11.233,572.888,761.869,16.784,0.237,1.48862,0.797,12,12,12,16,12
11066681290589123387,301.52548,36.77630,17.819,19.534,16.589,15.953,15.456,13.164,12.439,10.289,463.001,1062.710,16.335,0.685,2.68435,1.615,14,10,17,12,17
11084678096912591851,301.55542,36.43129,15.959,17.878,14.726,14.000,13.663,11.118,10.531,11.558,496.986,1943.313,14.926,0.573,3.86115,1.719,15,13,12,9,15
11120566156444484339,300.35275,34.59616,16.384,18.471,15.051,14.257,13.840,11.309,10.781,7.690,361.424,846.132,15.625,0.389,5.85478,1.704,12,16,15,8,16
11156858836253517909,303.43030,36.88400,15.559,16.893,14.849,14.504,14.136,12.395,11.862,12.150,668.273,1158.836,15.679,0.299,2.47801,0.979,12,14,14,14,14
11174978787879577030,304.74869,37.96526,17.027,19.311,15.941,14.987,14.378,11.503,10.630,10.077,483.681,698.201,14.942,0.500,3.59737,2.175,14,7,10,13,19
11211728864526439128,312.01508,45.51831,17.320,19.243,15.920,15.193,14.408,11.597,10.750,10.375,446.118,1069.634,15.110,0.618,3.36981,2.104,9,10,13,9,14
11229778447408497702,312.57175,45.76796,16.704,17.892,16.198,15.800,15.644,13.788,12.391,43.786,1751.446,2624.779,16.043,0.862,1.02116,0.968,10,12,11,9,11
11246385471032521282,298.96945,30.49148,15.113,16.613,14.062,12.995,12.572,10.389,9.689,13.440,483.846,1933.475,14.346,0.696,4.80309,1.602,13,10,11,8,12
11246842867870357315,303.39658,35.16177,15.582,17.946,14.093,12.931,12.424,9.614,8.758,16.404,442.908,901.003,14.396,0.925,10.30177,2.063,13,7,9,2,13
11264610975776050247,301.04547,32.42846,15.691,17.803,14.296,13.423,12.890,10.371,9.749,3.313,165.649,647.858,14.425,0.392,5.27648,1.884,12,13,12,11,17
11282678150842423307,301.88211,32.84361,16.416,18.665,15.003,14.201,13.476,10.716,9.937,6.460,394.074,1574.488,14.597,0.474,4.58956,2.086,16,14,17,16,18
11283346653912523730,308.48749,39.99505,17.199,19.230,15.815,14.860,14.381,11.369,9.579,15.488,1022.177,1751.082,13.553,0.389,0.99680,2.167,15,11,19,14,21
