,Ag,DM,EBV,chi2,dec,field,hmag,objid,period,ra,score_2
0,2.05,13.266,2.059,99.537,24.16684,064-06,11.09,11732598308928342978,1.58764,301.79277,0.910730361938
1,0.529,16.301,1.238,24.42,25.57942,064-06,12.316,11750771037112805797,3.44282,303.43995,0.608446121216
0,0.532,17.958,0.797,65.452,40.83748,160-06,14.069,10622707291386254951,3.22134,63.57164,0.261715054512
1,0.563,19.26,0.899,7.032,39.9192,160-06,14.157,10622795252316514945,8.10916,64.55043,0.256665229797
0,0.437,16.779,1.007,4.403,66.96522,109+08,12.639,10835027384756148702,3.46568,334.68094,0.410606712103
1,0.411,15.346,1.836,7.007,65.92928,109+08,13.252,10997227340086078785,1.20688,338.09571,0.325422257185
2,0.419,18.856,1.48,19.294,66.03872,109+08,13.712,10997227340086321368,12.37687,337.88667,0.797529160976
3,0.867,17.499,0.959,15.1,65.05146,109+08,11.773,11069249749752568179,11.32283,337.79974,0.631414592266
0,0.447,17.563,0.644,17.26,64.21574,100+12,14.131,10546251650837400239,2.46438,317.13256,0.264016807079
0,0.825,19.925,0.276,33.13,75.59575,125+12,13.793,10241554988547517058,15.73593,24.77914,0.291999071836
1,0.425,14.664,0.797,16.01,73.76978,125+12,11.464,10349711748348882154,1.67795,26.34912,0.264693975449
2,0.299,18.388,0.626,5.517,74.65974,125+12,14.036,10493615830192306368,4.57396,14.39307,0.269580870867
0,0.735,21.997,0.222,85.487,5.03383,034+06,13.996,11604192942992162849,66.83081,277.5684,0.26648658514
1,1.131,12.284,2.18,68.674,5.51807,034+06,9.496,11604245719549157394,1.96873,278.1839,0.705350875854
2,0.459,21.441,0.21,28.709,3.92719,034+06,14.676,11622084196198032146,37.62345,276.41868,0.384442657232
3,0.551,13.629,1.354,28.111,3.86643,034+06,9.136,11622084196198068360,4.10686,276.5907,0.690614402294
4,1.951,12.255,1.959,63.508,5.47222,034+06,10.131,11622277710244674271,0.99866,278.46932,0.584244012833
5,0.862,16.021,0.983,6.876,4.46246,034+06,13.33,11658218546333206126,1.58075,277.83998,0.687631607056
6,0.503,13.17,1.93,11.188,4.63249,034+06,9.173,11658236138519397494,4.09459,278.22057,0.979286551476
7,0.258,12.809,1.556,5.095,3.93985,034+06,9.615,11676180168284463370,2.1791,277.49338,0.260885298252
8,0.421,15.057,1.341,13.803,3.07807,034+06,11.993,11694106605863484180,2.06969,276.86167,0.369256436825
9,0.606,17.621,0.952,8.587,3.70827,034+06,15.007,11694194566793935147,1.65832,277.80027,0.589377224445
10,0.661,20.123,0.749,23.554,4.32057,034+06,15.505,11694264935538346231,7.50392,278.52966,0.362572699785
11,0.517,19.668,1.287,20.024,4.57912,034+06,14.033,11694300119909336676,14.16493,278.88011,0.915562808514
12,0.374,15.446,1.759,6.005,2.34949,034+06,12.991,11730100218510237826,1.40627,276.95955,0.372779637575
13,0.86,17.597,0.958,5.539,3.59152,034+06,14.229,11748272946696193619,2.75605,278.74709,0.497407585382
14,0.772,13.333,1.87,48.046,3.80124,034+06,8.561,11748308131067180266,6.481,278.92004,0.672717988491
15,0.474,18.933,1.094,16.605,2.94027,034+06,12.143,11766216976460378767,35.21087,278.07306,0.693066060543
16,0.927,20.056,1.005,8.212,3.327,034+06,13.379,11766287345204526661,25.34743,278.75064,0.84518045187
17,0.815,14.838,1.077,21.439,4.02892,034+06,12.231,11766357713947313964,1.42349,279.43187,0.533366322517
18,0.714,18.523,1.91,69.597,2.74966,034+06,10.766,11784248967155828939,85.42287,278.43611,0.49675193429
19,0.327,14.391,2.079,8.912,3.24593,034+06,11.379,11784301743713947230,2.44346,278.91449,0.5103469491
20,0.811,15.86,1.358,5.474,1.74484,034+06,13.073,11802157812549007328,1.91413,277.60471,0.652347266674
21,0.323,16.618,1.486,4.995,2.47939,034+06,12.573,11802228181293187608,4.03482,278.30039,0.274287104607
22,0.397,13.743,1.922,9.947,3.08937,034+06,9.822,11802316142223382381,4.15963,279.2457,0.66570943594
23,0.606,15.563,1.553,16.049,2.59775,034+06,12.264,11820277764174764391,2.94123,278.84151,0.540749490261
24,1.109,15.372,1.434,12.48,2.39612,034+06,13.076,11856324153379365353,1.25628,279.46736,0.79991042614
0,0.527,15.745,0.523,4.623,11.17222,049-06,10.79,12163888341994814012,6.71555,295.41823,0.792203068733
1,0.92,16.067,1.731,24.194,11.61472,049-06,13.479,12218037090638446032,1.48503,297.17217,0.618977129459
0,0.947,14.717,1.095,143.894,49.03266,109-12,9.845,12780828714384586964,4.79065,351.05637,0.848103404045
1,0.698,15.715,1.039,42.84,48.14924,109-12,11.479,12979092651105596346,3.68361,353.6413,0.378638476133
0,0.891,21.506,0.566,6.555,38.38028,169+00,14.809,9975050962160873730,23.54988,78.48164,0.259314864874
0,0.487,18.32,0.398,35.798,49.66374,146-08,14.087,11017845382130069777,3.82452,48.48615,0.465021371841
1,0.611,18.309,0.965,4.343,48.18468,146-08,14.339,11179957376529297525,2.8107,46.25869,0.381557404995
0,0.965,16.685,1.101,7.928,71.0441,109+12,13.621,10348550664069900845,1.86248,324.76854,0.306835114956
1,0.606,14.996,0.933,23.931,70.82322,109+12,10.894,10438693025361255914,3.83012,328.29027,0.912656664848
2,1.354,20.14,1.142,102.661,69.4122,109+12,11.346,10456584278568581454,141.45401,324.67371,0.830668032169
3,0.916,19.525,0.393,63.979,69.46315,109+12,14.786,10600840204132958694,4.47578,331.53183,0.318776160479
0,0.659,16.466,1.395,9.625,64.83699,140+06,13.306,10224578529015028489,2.29801,53.27533,0.494019210339
1,0.383,14.515,0.645,7.132,62.79239,140+06,12.139,10260765655707991357,1.0826,54.60934,0.283324718475
2,0.989,16.372,1.589,20.564,62.60593,140+06,12.34,10278797646403517878,5.19601,54.63809,0.578085899353
3,0.274,14.629,1.222,6.344,64.0273,140+06,10.748,10350644134209012106,3.64027,50.30751,0.450103223324
4,0.588,18.364,0.914,22.833,62.80735,140+06,14.15,10350749687325671316,3.67286,51.63401,0.291449278593
5,1.164,12.317,2.068,17.784,62.24798,140+06,9.297,10368816862392867105,2.01308,52.17755,0.871083021164
0,1.366,15.502,0.963,336.532,60.55935,139+00,11.75,10620912888409314297,2.66795,46.04623,0.623544633389
1,0.444,13.227,1.684,5.998,59.46108,139+00,10.135,10621018441526123773,2.28921,47.53734,0.98286563158
2,0.372,18.241,1.336,21.604,60.67765,139+00,13.672,10656906501056274348,5.05397,45.1888,0.428990989923
3,0.686,19.951,0.973,15.146,60.37973,139+00,13.82,10674920899565698203,17.57502,44.60479,0.82180249691
4,0.429,18.124,0.964,20.056,60.58357,139+00,12.709,10692900113702990490,8.8642,43.68621,0.528301358223
5,1.015,20.987,0.553,66.846,60.24685,139+00,13.757,10710932104398533121,13.80095,43.81087,0.339038640261
6,0.478,14.598,0.997,4.692,59.78757,139+00,11.439,10710984880956646326,2.14522,44.6735,0.58234077692
7,0.83,14.151,1.415,11.79,59.34185,139+00,10.825,10711020065328751779,2.80562,45.19491,0.994810581207
8,0.697,15.754,1.638,25.976,60.33021,139+00,12.947,10746925717045422297,1.36979,42.63723,0.258734405041
9,0.455,15.153,1.211,7.597,60.11215,139+00,0.0,10746943309231466328,1.2032,42.96528,0.303608089685
10,0.906,17.517,0.482,14.525,57.34627,139+00,13.512,10873184836287091127,3.97596,43.5024,0.401614934206
11,0.851,14.299,1.032,6.595,57.9345,139+00,10.907,10891111273866341215,2.79914,42.02334,0.890436768532
0,0.434,15.309,0.807,7.09,17.47594,049+06,12.174,11172850133368577396,1.93772,283.39392,0.532143294811
1,0.845,17.247,1.061,16.311,18.17205,049+06,10.226,11172938094298025681,36.71729,284.15459,0.437780052423
2,0.507,14.874,0.665,16.75,18.87472,049+06,12.049,11173008463042283549,1.50198,284.8878,0.512514591217
3,1.205,12.039,1.896,50.478,18.57667,049+06,10.056,11245101241452048796,0.99545,286.11146,0.41274651885
4,0.691,12.671,1.748,18.273,16.87662,049+06,10.581,11262939718100200632,1.05262,284.38709,0.366628557444
5,0.403,19.387,1.048,15.308,15.7416,049+06,13.092,11334944535580180710,23.43654,284.49802,0.456410109997
6,0.769,17.067,1.807,34.355,16.84409,049+06,9.663,11335085273068789245,66.89229,286.0047,0.353071123362
7,0.581,18.783,0.823,10.576,15.89537,049+06,12.451,11352994118461802549,17.67577,285.04994,0.617765128613
8,0.399,12.621,1.767,8.573,16.44397,049+06,9.566,11389110876411353493,2.28065,286.38107,0.609069347382
9,0.684,14.668,0.651,2.124,16.09803,049+06,10.84,11407125274920965985,3.26962,286.49619,0.833347320557
0,0.406,12.77,1.736,21.6,41.02416,079-00,10.345,11103132300073096716,1.40704,306.14067,0.869392633438
