,objid,ra_fit,dec_fit,rm,gm,chi2,DM, Ag, period,EBV,ng,nr,ni,nz,ny,Unnamed: 0,ra_params,dec_params,maxloglik,omega_best,tau_best,q,errorweightedmeanmag_g,errorweightedmeanmag_r,errorweightedmeanmag_i,errorweightedmeanmag_z,errorweightedmeanmag_y,gbandepochs,rbandepochs,ibandepochs,zbandepochs,ybandepochs,w1mpro,w2mpro,w1sigmpro,w2sigmpro,J,eJ,H,eH,K,eK,amp_g,amp_r,amp_i,amp_z,amp_y,gr,ri,iz,zy,gi,gy,iy,ry,iW1,iW2,W12,iK,gK,rK,zK,yK,JH,HK,iw1,w12,class_score,grm,class_score_2
10,10009918674901127173,71.33891,50.94579,15.952,18.043,26.123,15.273,0.765,1.39971,1.252,10,6,10,15,11,2821288,71.33890981,50.94578838,82.29273327,0.28001884,1.52707248,371.9552476,17.82922748,15.51383372,16.10443135,15.00847529,14.53663616,10,10,6,15,11,12.173,12.125,0.024,0.024,13.357,0.026,12.606,0.031,12.376,0.024,1.112,0.483,0.374,0.419,0.586,1.72479613,0.59059763,0.50535843,0.47183913,2.31539376,3.29259132,0.97719756,1.56779519,3.34083372,3.38883372,0.048,3.13783372,5.45322748,3.72843135,2.63247529,2.16063616,0.751,0.23,,,0.547254264355,2.091,0.873569905758
46,10010692731087119039,74.43285,42.18091,13.673,14.662,6.214,15.689,0.274,5.44712,0.503,8,11,3,6,16,1355778,74.43284815,42.18091329,94.02528389,0.11284955,3.43060476,41.89213417,14.68046313,13.19348392,13.66693537,12.92718687,12.7492937,8,3,11,6,16,10.699,10.737,0.023,0.02,11.48,0.018,10.853,0.02,10.654,0.023,0.245,0.174,0.174,0.3,0.276,1.01352776,0.47345145,0.26629705,0.17789317,1.48697921,1.93116943,0.44419022,0.91764167,2.49448392,2.45648392,-0.038,2.53948392,4.02646313,3.01293537,2.27318687,2.0952937,0.627,0.199,,,0.542347431183,0.989,0.617900431156
48,10027598821875888034,69.00435,54.39255,18.491,19.911,9.995,20.266,0.805,8.02516,0.809,10,3,8,7,13,5352723,69.00435149,54.39255026,54.27511576,0.20683536,0.20187478,112.80529967,19.84280262,17.77029531,18.50934848,17.52849008,17.12991294,10,8,3,7,13,14.766,14.729,0.034,0.064,15.818,0.076,15.273,0.108,14.962,0.103,0.472,0.15,0.144,0.607,0.427,1.33345414,0.73905317,0.24180523,0.39857714,2.07250731,2.71288968,0.64038237,1.37943554,3.00429531,3.04129531,0.037,2.80829531,4.88080262,3.54734848,2.56649008,2.16791294,0.545,0.311,,,0.54149967432,1.42,0.836621999741
80,10028214548386991705,72.42317,47.67955,18.799,19.884,9.924,20.349,0.484,6.81552,0.789,9,10,12,9,14,3681940,72.42316917,47.67954718,96.84505708,0.11284955,0.20187478,42.87842318,19.90775286,18.02602486,18.77445991,17.76188656,17.37164035,9,12,10,9,14,15.364,15.309,0.045,0.098,16.496,0.148,15.675,0.136,15.602,0.234,0.62,0.311,0.286,0.388,0.181,1.13329295,0.74843505,0.2641383,0.39024621,1.881728,2.53611251,0.65438451,1.40281956,2.66202486,2.71702486,0.055,2.42402486,4.30575286,3.17245991,2.15988656,1.76964035,0.821,0.073,,,0.538611412048,1.085,0.864603757858
88,10028372878061861755,73.13195,45.90723,15.607,16.387,55.809,17.039,0.591,2.9916,0.51,12,16,12,16,19,3514094,73.1319501,45.90722907,161.71619412,0.11284955,0.30257816,123.94060312,16.52913037,15.1870273,15.64203354,14.94658795,14.76828452,12,12,16,16,19,13.111,13.081,0.025,0.03,13.77,0.026,13.4,0.034,13.167,0.042,0.78,0.294,0.096,0.152,0.219,0.88709683,0.45500624,0.24043935,0.17830343,1.34210307,1.76084585,0.41874278,0.87374902,2.0760273,2.1060273,0.03,2.0200273,3.36213037,2.47503354,1.77958795,1.60128452,0.37,0.233,,,0.543438076973,0.78,0.631788015366
162,10063522065778442869,67.91531,55.09446,17.709,19.227,61.694,20.319,0.636,15.89436,0.759,10,10,12,13,14,882323,67.91530822,55.09445989,72.90157281,0.28001884,0.20187478,309.28204334,19.2600704,17.08558294,17.81174254,16.79474684,16.38764989,10,12,10,13,14,14.11,14.01,0.029,0.04,15.352,0.05,14.636,0.056,14.481,0.071,0.606,0.605,0.574,0.608,0.576,1.44832786,0.7261596,0.2908361,0.40709695,2.17448746,2.87242051,0.69793305,1.42409265,2.97558294,3.07558294,0.1,2.60458294,4.7790704,3.33074254,2.31374684,1.90664989,0.716,0.155,,,0.54149967432,1.518,0.681279361248
244,10082081822055212702,70.55191,48.9534,17.435,18.403,27.797,18.988,0.46,3.99604,0.589,6,10,5,13,12,2965876,70.5519097,48.95339818,62.58053765,0.20683536,0.13468727,121.32281925,18.51270699,16.91976042,17.4600384,16.80840698,16.4122045,6,5,10,13,12,14.614,14.583,0.033,0.058,15.427,0.051,15.188,0.087,14.676,0.073,0.505,0.244,0.053,0.604,0.369,1.05266859,0.54027798,0.11135344,0.39620248,1.59294657,2.10050249,0.50755592,1.0478339,2.30576042,2.33676042,0.031,2.24376042,3.83670699,2.7840384,2.13240698,1.7362045,0.239,0.512,,,0.537711620331,0.968,0.682505369186
254,10082363297032435243,71.84045,45.78827,17.209,18.865,8.049,16.906,0.258,4.52173,1.444,15,12,12,14,15,3424782,71.84045124,45.78827314,154.51964171,0.08335609,0.67974906,51.09707475,18.89365306,16.23430649,17.25877444,15.60425957,15.18169462,15,12,12,14,15,12.142,12.058,0.023,0.023,13.656,0.024,12.703,0.031,12.452,0.025,0.576,0.287,0.204,0.188,0.183,1.63487862,1.02446795,0.63004692,0.42256495,2.65934657,3.71195844,1.05261187,2.07707982,4.09230649,4.17630649,0.084,3.78230649,6.44165306,4.80677444,3.15225957,2.72969462,0.953,0.251,,,0.541512966156,1.656,0.654171228409
273,10099603639355050257,67.38734,54.02887,15.471,16.354,157.816,16.817,1.333,2.75827,0.396,11,12,4,11,17,5093436,67.3873396,54.02887253,108.78796278,0.20683536,11.55146959,177.87953748,16.27958908,14.9835,15.4706445,14.72177762,14.54649259,11,4,12,11,17,12.78,12.746,0.025,0.026,13.492,0.023,13.124,0.03,12.942,0.026,1.548,0.046,0.011,0.031,0.064,0.80894458,0.4871445,0.26172238,0.17528503,1.29608908,1.73309649,0.43700741,0.92415191,2.2035,2.2375,0.034,2.0415,3.33758908,2.5286445,1.77977762,1.60449259,0.368,0.182,,,0.545343160629,0.883,0.649956405163
308,10100395287727228508,71.58922,45.23217,15.944,16.681,233.354,19.079,0.705,8.95998,0.27,11,9,9,14,18,5595799,71.58921618,45.23217414,68.06621038,0.51323021,1.52707248,998.39866233,16.81445878,15.73169943,16.03257423,15.44506708,15.35960097,11,9,9,14,18,13.428,13.398,0.025,0.033,14.022,0.024,13.602,0.037,13.456,0.03,0.693,0.42,1.568,1.059,1.219,0.78188455,0.3008748,0.28663235,0.08546611,1.08275935,1.45485781,0.37209846,0.67297326,2.30369943,2.33369943,0.03,2.27569943,3.35845878,2.57657423,1.98906708,1.90360097,0.42,0.146,,,0.535688996315,0.737,0.704720497131
342,10117512484749016262,66.3995,55.06976,15.779,18.048,16.95,14.054,0.211,2.93653,1.9,14,6,11,15,12,4218460,66.39950318,55.06976505,145.18901551,0.08335609,11.55146959,37.0336707,18.02087436,14.55314682,15.84037102,13.91254611,13.33930964,14,11,6,15,12,9.938,9.903,0.024,0.02,11.618,0.018,10.532,0.017,10.16,0.018,0.31,0.221,0.068,0.194,0.194,2.18050334,1.2872242,0.64060071,0.57323647,3.46772754,4.68156472,1.21383718,2.50106138,4.61514682,4.65014682,0.035,4.39314682,7.86087436,5.68037102,3.75254611,3.17930964,1.086,0.372,,,0.540892601013,2.269,0.719311118126
384,10118286540934463173,70.9453,46.57279,18.556,19.56,23.628,19.643,0.932,2.82738,0.535,11,7,5,9,9,5451042,70.94530806,46.57278948,69.90520057,0.15277852,1.01883565,107.69854132,19.25625698,17.99145465,18.55239704,17.68181219,17.44101104,11,5,7,9,9,15.543,15.402,0.042,0.102,16.316,0.107,15.838,0.143,16.045,-9999.0,0.963,0.09,0.038,0.068,0.058,0.70385994,0.56094239,0.30964246,0.24080115,1.26480233,1.81524594,0.55044361,1.111386,2.44845465,2.58945465,0.141,1.94645465,3.21125698,2.50739704,1.63681219,1.39601104,0.478,-0.207,,,0.543394088745,1.004,0.643253743649
412,10135685212932177178,67.09938,53.15319,15.747,18.27,73.956,13.356,0.913,10.59908,2.6,12,13,4,1,9,4882217,67.0993775,53.1531906,82.78400183,0.15277852,17.31381436,91.51212473,18.27888384,13.52017835,15.69573782,12.348,11.53411007,12,4,13,1,9,7.201,7.107,0.038,0.02,9.499,0.023,8.081,0.042,7.521,0.026,0.308,0.505,0.043,-9999.99,0.15,2.58314602,2.17555947,1.17217835,0.81388993,4.75870549,6.74477377,1.98606828,4.16162775,6.31917835,6.41317835,0.094,5.99917835,10.75788384,8.17473782,4.827,4.01311007,1.418,0.56,,,0.541067838669,2.523,0.82755947113
573,10171397350602408615,64.16204,56.22506,17.232,18.105,34.46,19.33,0.635,4.63934,0.337,12,10,8,8,15,4173625,64.16203863,56.22505616,118.28897774,0.15277852,11.55146959,89.67735281,18.03154773,16.80667763,17.22940642,16.54319846,16.37943452,12,8,10,8,15,14.589,14.536,0.031,0.052,15.333,0.05,14.856,0.069,14.693,0.078,0.835,0.025,0.026,0.041,0.084,0.80214131,0.42272879,0.26347917,0.16376394,1.2248701,1.65211321,0.42724311,0.8499719,2.21767763,2.27067763,0.053,2.11367763,3.33854773,2.53640642,1.85019846,1.68643452,0.477,0.163,,,0.54628521204,0.873,0.746363937855
583,10171520495904812169,65.08795,54.92197,17.52,19.051,49.026,15.381,0.618,1.13152,1.556,11,8,12,12,16,3881032,65.08794807,54.92196483,80.95644799,0.20683536,0.05995363,189.73214327,18.99454692,16.30521333,17.39990954,15.86632558,15.51956876,11,12,8,12,16,13.074,13.041,0.024,0.028,14.203,0.029,13.48,0.035,13.253,0.035,0.62,0.602,0.468,0.485,0.393,1.59463738,1.09469621,0.43888775,0.34675682,2.68933359,3.47497816,0.78564457,1.88034078,3.23121333,3.26421333,0.033,3.05221333,5.74154692,4.14690954,2.61332558,2.26656876,0.723,0.227,,,0.54149967432,1.531,0.641247034073
690,10190080252181663297,68.22916,48.80997,17.956,19.776,9.615,14.813,0.727,0.9974,1.884,11,10,12,12,14,631785,68.22916488,48.80997388,140.68325001,0.08335609,25.95065203,61.77777288,19.78040055,16.77042349,17.94778859,16.14063932,15.70501564,11,12,10,12,14,12.614,12.608,0.024,0.026,14.128,0.038,13.193,0.041,12.865,0.028,0.238,0.052,0.465,0.046,0.058,1.83261196,1.1773651,0.62978417,0.43562368,3.00997706,4.07538491,1.06540785,2.24277295,4.15642349,4.16242349,0.006,3.90542349,6.91540055,5.08278859,3.27563932,2.84001564,0.935,0.328,,,0.538013875484,1.82,0.659932911396
711,10190308950600512689,69.44769,46.11577,17.176,18.509,39.704,18.189,0.681,5.07442,0.963,10,7,4,10,13,5757070,69.44769268,46.11576835,67.79514225,0.20683536,2.2888386,210.23208422,18.51711882,16.41632781,17.1718791,16.12297095,15.70611864,10,4,7,10,13,13.33,13.293,0.025,0.031,14.32,0.031,13.748,0.031,13.505,0.041,0.136,0.032,0.013,0.657,0.599,1.34523972,0.75555129,0.29335686,0.41685231,2.10079101,2.81100018,0.71020917,1.46576046,3.08632781,3.12332781,0.037,2.91132781,5.01211882,3.6668791,2.61797095,2.20111864,0.572,0.243,,,0.547254264355,1.333,0.823880016804
