# col1                  ra      dec     chi2     F  r0   period_g     period_t  diff                ebv  delta(ebv)    ak   distance imag   jmag   hmag)  kmag  
  1.1282906849261173E19 304.03581 35.19587 321.804  1.199 14.493 1.25022  3.1275  162196.99694384765  1.244 0.156   0.7  5.11     15.28  11.983 10.778 10.258
  1.1338023168138826E19 315.47236 46.48235 164.726  1.382 12.048 1.5302   5.4714  340519.6613452149   0.951 -0.015  0.33 9.54     13.435 11.414 10.729 10.406
  1.1338216682184438E19 317.65672 48.58901 1238.091 1.915 13.36  1.73618  4.6698  253464.751125       1.269 0.215   0.57 7.81     14.68  11.929 10.931 10.444
  1.14844605247715E19   10.64202  63.83967 402.953  0.94  12.754 1.97042  1.9706  15.5527745361276    1.228 0.155   0.32 8.75     14.607 12.586 11.957 11.687
  1.108467809691259E19  301.55544 36.43125 893.577  2.0   13.249 2.17829  3.861   145386.1492734375   0.912 0.177   0.42 8.52     14.175 11.962 11.118 10.779
  1.0495375048796432E19 55.53691  56.02976 275.578  0.637 12.147 2.36011  2.3818  1874.0104958495963  1.72  0.144   0.54 5.9      14.618 12.178 11.206 10.8  
  1.143054047454599E19  14.38546  63.15642 171.007  1.467 12.101 2.47227  2.4889  1436.827352783206   0.781 -0.075  0.26 6.62     12.858 11.509 10.923 10.696
  1.1610596498710532E19 10.85828  62.1467  313.828  1.171 13.221 2.84123  2.8418  49.24579174805359   1.201 0.226   0.52 8.58     14.917 12.704 11.724 11.345
  1.1555638509508311E19 341.41307 59.7129  30.164   0.92  11.621 2.99109  2.9902  -76.8923085937331   1.284 0.1     0.41 6.03     13.339 11.505 10.726 10.375
  1.132037820553646E19  319.66628 50.79246 64.303   0.834 10.614 2.99689  2.9971  18.15392065429222   1.285 0.095   0.38 4.63     12.507 10.834 10.095 9.766 
  1.1609664112849959E19 341.57167 59.09533 451.866  2.0   11.996 3.66272  3.6966  2927.228572265608   1.257 0.176   0.47 5.15     13.641 11.047 10.174 9.784 
  1.128406793353955E19  315.80804 47.88872 65.542   1.224 11.945 3.87055  3.8717  99.36418579100206   1.358 0.047   0.41 7.77     13.72  11.729 10.903 10.565
  1.0423722075037608E19 60.68794  52.20487 310.282  1.253 11.388 4.16104  4.1591  -167.61118798826828 1.176 -0.155  0.32 6.76     12.516 11.046 10.328 10.068
  1.1336281541722255E19 297.91348 27.94425 249.286  2.0   12.218 4.20649  7.3047  267685.3351669922   0.916 0.164   0.4  7.79     13.015 10.843 9.975  9.649 
  1.1410608527757707E19 322.93299 51.38233 1287.665 2.0   12.443 4.36663  4.3152  -4443.56478808592   0.917 0.2     0.47 4.72     13.189 10.651 9.779  9.369 
  1.0154561628557935E19 71.39506  43.57281 22.593   0.794 11.294 4.43738  4.3732  -5545.15720751954   0.88  -0.042  0.25 7.5      12.107 10.961 10.383 10.131
  1.1265332255403043E19 308.45241 40.00259 241.749  0.692 13.324 4.45795  4.4596  142.55756103513022  1.276 0.082   0.43 17.79    15.149 13.401 12.531 12.183
