# id_kiso              period_t period_g  ng nr ni nz ny ag         dm        ebv       chi2      ak   distance imag   ra_deg             dec_deg           
  kiso_060522.8+205644 2.9451   2.94549   10 16 12 4  0  0.82333746 10.621532 2.0850546 157.3812  0.45 4.82     13.388 91.34499999682107  20.945555555555554
  kiso_034208.9+560147 2.3818   2.38187   7  10 8  4  15 0.78698074 11.52113  2.3182806 164.39393 0.54 5.9      14.618 55.53708333174387  56.02972222222222 
  kiso_034529.7+532608 4.3391   4.33657   12 12 0  0  0  0.70120312 8.8217655 2.26595   200.19163 0.39 3.49     12.019 56.37375000317891  53.43555555555556 
  kiso_035615.0+524826 4.934    5.76951   12 12 10 13 16 0.46153594 11.774821 2.0919449 448.55921 0.46 13.09    14.641 59.06250000000001  52.80722222222222 
  kiso_035938.2+524726 3.706    3.70531   12 6  0  0  0  1.0076764  9.224181  1.9839762 20.630467 0.45 3.29     11.918 59.90916666984559  52.79055555555556 
  kiso_040245.1+521217 4.1591   4.16063   15 10 0  0  0  1.1663825  10.378233 1.6090096 317.85884 0.32 6.76     12.516 60.68791666030883  52.204722222222216
  kiso_025204.0+584254 3.9692   3.97094   9  14 14 0  0  0.35755344 10.745029 1.8798597 122.14417 0.39 6.24     13.245 43.016666666666666 58.714999999999996
  kiso_030554.6+574544 4.7293   4.7275    8  4  0  0  0  0.88197291 10.814726 1.4148619 1.7567265 0.33 6.08     12.356 46.477499993642176 57.76222222222221 
  kiso_041246.2+515504 4.7163   4.77446   6  6  0  0  0  1.0470667  10.624885 1.4573409 44.972745 0.29 6.81     12.431 63.1925000031789   51.917777777777786
  kiso_044534.8+433422 4.3732   5.47421   9  3  0  0  0  1.0039072  10.193102 1.424372  14.856216 0.25 7.5      12.107 71.3949999968211   43.57277777777778 
  kiso_053235.1+332153 7.2912   1.53979   11 2  0  0  0  0.64364044 10.736246 1.3057193 14.463083 0.24 8.16     12.024 83.14624999364217  33.36472222222222 
  kiso_053407.8+321909 1.63     1.6298    15 14 10 10 13 0.6071805  12.6319   1.2052825 501.86323 0.29 9.17     14.108 83.53250000079474  32.31916666666666 
  kiso_021807.4+614925 3.5637   3.56476   8  10 10 5  0  0.65877547 10.354461 2.3371939 54.877423 0.51 4.92     13.564 34.5308333337307   61.82361111111112 
  kiso_004326.0+620848 2.8418   2.8412    4  12 11 8  10 0.9619154  12.195127 2.0341343 208.11887 0.52 8.58     14.917 10.858333333333333 62.14666666666667 
  kiso_203348.6+400009 4.4596   4.34949   12 8  16 15 22 0.50460151 12.904159 1.6349617 284.41492 0.43 17.79    15.149 308.45249999364216 40.0025           
  kiso_004234.1+635022 1.9706   1.97066   10 12 11 13 13 1.134742   12.314938 1.7917897 583.46541 0.32 8.75     14.607 10.642083326975504 63.839444444444446
  kiso_005641.0+623317 5.6338   5.72295   8  9  7  3  0  0.43275607 11.057677 1.7113618 138.89024 0.36 9.97     13.332 14.17083333333333  62.554722222222225
  kiso_005732.5+630923 2.4889   2.47278   4  9  4  0  0  1.5002767  11.347905 1.2042398 34.346007 0.26 6.62     12.858 14.385416666666668 63.156388888888884
  kiso_011653.4+624633 7.9232   5.37428   10 8  2  0  0  1.0724135  9.122963  2.4925004 129.81178 0.47 5.99     12.699 19.222500006357826 62.775833333333324
  kiso_230322.6+611624 5.4338   5.3300152 12 12 10 0  0  0.52832042 10.402788 2.1329459 510.4129  0.47 5.93     13.393 345.8441666682562  61.27333333333333 
  kiso_233320.3+610708 3.8717   100.0     11 0  0  0  0  100.0      100.0     100.0     100000.0  0.24 3.73     11.094 353.33458333015443 61.11888888888888 
  kiso_000146.0+622527 3.8779   3.8782365 10 2  0  0  0  0.80192462 9.9357886 1.5066988 2.7808089 0.36 4.71     11.952 0.4416666666666667 62.42416666666667 
  kiso_202343.9+403120 3.8779   3.8782365 0  14 18 14 16 0.80192462 9.9357886 1.5066988 2.7808089 0.75 8.73     16.309 305.93291667302447 40.522222222222226
  kiso_222304.6+574439 1.1202   4.6229563 7  4  13 14 13 0.67814326 12.295463 1.8968695 43.028886 0.44 5.36     14.79  335.7691666662693  57.74416666666666 
  kiso_222323.7+584700 3.2041   3.204129  16 11 17 15 13 0.64633468 12.099547 2.175768  41.536906 0.57 9.0      15.056 335.8487500031789  58.78333333333333 
  kiso_204056.7+432537 5.9745   1.976162  8  17 18 10 0  0.44256731 9.7727965 3.164786  393.26954 0.74 4.29     14.182 310.23625000317895 43.426944444444445
  kiso_045615.2+444654 3.4072   100.0     13 0  0  0  0  100.0      100.0     100.0     100000.0  0.24 4.55     11.479 74.06333333253859  44.781666666666666
  kiso_204836.0+440247 4.9363   4.9395857 4  17 22 9  15 0.87353161 10.798967 3.0113049 363.62253 0.68 6.1      14.978 312.15000000000003 44.04638888888889 
  kiso_211839.9+504732 2.9971   2.9973414 11 12 0  0  0  0.85243665 10.182877 1.7092455 82.82664  0.38 4.63     12.507 319.6662500063578  50.792222222222215
  kiso_212316.8+500731 3.4348   3.4353914 7  10 10 8  0  0.72962866 10.934708 2.2402348 65.823708 0.5  6.19     13.947 320.8199999968211  50.125277777777775
  kiso_213143.9+512256 4.3152   4.3162403 12 14 5  0  0  0.87006687 10.072778 2.2671803 174.32196 0.47 4.72     13.189 322.9329166730245  51.382222222222225
  kiso_213223.5+513824 4.3152   4.3162403 2  14 10 10 9  0.87006687 10.072778 2.2671803 174.32196 0.66 6.09     15.253 323.09791666666666 51.64000000000001 
  kiso_220750.2+555857 3.0782   3.0781584 10 13 18 16 11 0.80393105 12.445474 1.8145737 227.92928 0.45 12.08    14.868 331.9591666698455  55.9825           
  kiso_221113.0+570313 5.7703   6.1109743 8  6  10 10 8  0.39439313 11.501796 1.9185758 191.96718 0.39 11.95    14.083 332.80416666666673 57.05361111111112 
  kiso_224539.1+594246 2.9902   2.9910479 14 10 9  0  0  0.69650666 10.996224 1.772001  88.57972  0.41 6.03     13.339 341.41291666030884 59.712777777777774
  kiso_224617.2+590543 3.6966   3.6971226 10 12 11 7  0  0.93545939 10.57008  2.2420429 134.87726 0.47 5.15     13.641 341.5716666698455  59.095277777777774
