# name	lgal	 gal 	period	distance redd	sat
kiso_000146.0+622527       117.21888      0.10479313      3.87790      4.71000      1.20197 YI
kiso_002357.6+625700       119.81383      0.24479413      6.16740      4.28000      2.03760 YI
kiso_003316.2+625426       120.86522      0.10860987      6.84540      3.75000      1.87485 YG
kiso_004234.1+635022       121.95437      0.98486892      1.97060      8.75000      1.67030 N
kiso_004326.0+620848       121.99708     -0.71042328      2.84180      8.58000      1.84903 N
kiso_005641.0+623317       123.53635     -0.31066524      5.63380      9.97000      1.34018 N
kiso_005732.5+630923       123.62104      0.29294394      2.48890      6.62000      1.12379 YI
kiso_011419.5+620238       125.61111     -0.70853756      5.08040      1.75000      1.52145 YR
kiso_011653.4+624633       125.83827     0.048033261      7.92320      5.99000      1.76395 YI
kiso_021807.4+614925       132.97455      0.65396860      3.56370      4.92000      1.51163 N
kiso_025204.0+584254       138.05513     -0.56885975      3.96920      6.24000      1.43013 N
kiso_030554.6+574544       140.11071     -0.55308918      4.72930      6.08000      1.18562 YI
kiso_034208.9+560147       145.19122      0.71978245      2.38180      5.90000      2.23588 N
kiso_034529.7+532608       147.15237      -1.0458667      4.33910      3.49000      2.48695 YI
kiso_035615.0+524826       148.80272     -0.52196329      4.93400      13.0900      1.78692 N
kiso_035938.2+524726       149.20376     -0.20346142      3.70600      3.29000      1.61325 YI
kiso_040245.1+521217       149.94589     -0.33498109      4.15910      6.76000      1.50972 YI
kiso_041246.2+515504       151.27849      0.48817135      4.71630      6.81000     0.810695 YI
kiso_043837.9+474425       157.17716      0.55822837      26.0795      6.93000      1.54879 YR
kiso_044534.8+433422       161.11132      -1.2757324      4.37320      7.50000     0.881444 YI
kiso_053235.1+332153       174.76726    0.0029854164      7.29120      8.16000     0.849496 YI
kiso_053407.8+321909       175.82095     -0.29389775      1.63000      9.17000      1.10301 N
kiso_060522.8+205644       189.15597     -0.16654146      2.94510      4.82000      1.57619 N
kiso_194146.4+253119       61.175323       1.2312577      28.8802      15.6500      2.59927 N
kiso_194303.0+251325       61.059482      0.83262101      5.36410      6.13000      2.51375 N
kiso_194324.6+240720       60.144810      0.21367538      8.52310      5.47000      4.72937 YI
kiso_194611.9+250033       61.229852      0.10834208      4.62590      10.3800      3.27902 N
kiso_195003.7+272746       63.784825      0.60093082      12.7204      9.18000      3.67664 N
kiso_195139.2+275639       64.378781      0.54295605      7.30470      7.79000      3.11947 YI
kiso_195552.7+302929       67.037225       1.0640388      4.80290      7.48000      2.55628 YI
kiso_200009.5+322315       69.131475       1.2752733      7.30630      8.41000      2.75558 N
kiso_200101.4+301117       67.359381    -0.040698966      7.10070      6.92000      2.45861 N
kiso_200124.6+343546       71.147227       2.2169628      5.85460      11.9000      2.32947 N
kiso_200148.0+315401       68.901092      0.72308380      5.76630      6.89000      3.14923 N
kiso_200556.7+335022       71.005663       1.0206560      11.6011      12.0400      3.85786 N
kiso_200606.1+364634       73.501977       2.5701881      2.68470      16.7400      2.19424 N
kiso_200613.3+362552       73.223477       2.3647737      3.86100      8.52000      1.75792 N
kiso_200636.6+323311       69.996074      0.21140095      22.3409      5.45000      2.73558 YI
kiso_200712.0+315232       69.492900     -0.25887894      33.4580      6.49000      3.77369 N
kiso_200731.7+325037       70.344854      0.20555212      4.58990      4.22000      2.76284 N
kiso_200908.8+315323       69.728394     -0.59856353      48.7641      6.75000      2.90390 YI
kiso_200928.5+350758       72.487202       1.1077271      4.94540      7.42000      2.71752 N
kiso_201032.4+372115       74.467869       2.1381536      6.01170      10.8500      2.05561 N
kiso_201309.1+323711       70.802970     -0.90727431      5.85600      6.32000      2.08945 YI
kiso_201403.7+365012       74.421335       1.2670529      6.53130      6.01000      2.20743 N
kiso_201443.1+361939       74.070434      0.87516470      18.3612      11.6600      3.82726 N
kiso_201608.6+351145       73.290792    0.0053730887      3.12750      5.11000      3.77613 N
kiso_201728.0+375110       75.642374       1.2707691      5.10620      11.8900      1.99746 N
kiso_203348.6+400009       79.233834    -0.078940977      4.45960      17.7900      6.53089 N
kiso_204056.7+432537       82.766661      0.93032022      5.97450      4.29000      3.75163 N
kiso_204803.6+453105       85.194343       1.2335452      3.37050      8.59000      2.71697 N
kiso_204836.0+440247       84.111225      0.23217311      4.93630      6.10000      4.36122 N
kiso_205012.0+454156       85.570794       1.0573883      12.2208      7.51000      2.15028 YI
kiso_205100.8+430823       83.686371     -0.68009815      8.72570      2.96000      2.30726 YR
kiso_205425.7+454331       86.062798      0.50664716      6.38560      4.43000      2.48642 YI
kiso_210153.4+462856       87.480711     0.021502533      5.47140      9.54000      1.60531 N
kiso_210313.9+475319       88.684453      0.78371485      3.87170      7.77000      2.47724 N
kiso_210421.5+451421       86.837643      -1.1257598      3.56940      8.38000     0.947554 YI
kiso_210746.6+464413       88.346195     -0.55990391      5.05820      4.89000      1.47972 YR
kiso_211037.6+483520       90.031509      0.34569441      4.66980      7.81000      2.79046 N
kiso_211839.9+504732       92.521669      0.93213645      2.99710      4.63000      2.35859 YI
kiso_212316.8+500731       92.569258    -0.059084112      3.43480      6.19000      2.23461 N
kiso_213143.9+512256       94.403901    -0.075252437      4.31520      4.72000      4.05389 N
kiso_213223.5+513824       94.654578     0.043916039      2.71020      6.09000      3.23387 N
kiso_213808.1+530545       96.282180      0.53248622      6.70350      6.32000      1.58168 YI
kiso_214829.0+530142       97.417822     -0.53102884      5.31740      5.21000      1.60743 YI
kiso_214846.2+544410       98.538358      0.75848327      4.35210      6.47000      1.80655 N
kiso_220750.2+555857       101.44470     0.092541919      3.07820      12.0800      1.43444 N
kiso_221113.0+570313       102.44402      0.69757248      5.77030      11.9500      1.58736 N
kiso_222304.6+574439       104.15622      0.38538303      1.12020      5.36000      1.62532 N
kiso_222323.7+584700       104.74893       1.2400835      3.20410      9.00000      3.10679 N
kiso_224539.1+594246       107.67633      0.61998359      2.99020      6.03000      1.74225 N
kiso_224617.2+590543       107.46172     0.035320118      3.69660      5.15000      2.20745 N
kiso_230322.6+611624       110.31954       1.0763531      5.43380      5.93000      1.68734 N
kiso_233320.3+610708       113.64232     -0.33605404      3.87170      3.73000      1.46874 YI
kiso_233407.1+624908       114.23303       1.2603887      2.05160      7.19000      1.98910 N
